Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EM,Emissions shares,11,Austria,7273,Emissions (CO2),6996,Farm-gate emissions,2016,2016,kilotonnes,1009.5096,Fc,Calculated data
EM,Emissions shares,11,Austria,7273,Emissions (CO2),6516,Land Use change,2016,2016,kilotonnes,225.94,Fc,Calculated data
EM,Emissions shares,11,Austria,7273,Emissions (CO2),6510,On-farm electricity use,2016,2016,kilotonnes,239.1235,Fc,Calculated data
EM,Emissions shares,11,Austria,7273,Emissions (CO2),6507,Food Processing,2016,2016,kilotonnes,1277.0602,Fc,Calculated data
EM,Emissions shares,11,Austria,7273,Emissions (CO2),6815,Food Transport,2016,2016,kilotonnes,1783.206,Fc,Calculated data
EM,Emissions shares,11,Austria,7273,Emissions (CO2),6508,Food Retail,2016,2016,kilotonnes,498.5905,Fc,Calculated data
EM,Emissions shares,11,Austria,7273,Emissions (CO2),6515,Food Waste Disposal,2016,2016,kilotonnes,185.1764,Fc,Calculated data
EM,Emissions shares,11,Austria,7273,Emissions (CO2),6505,Food Household Consumption,2016,2016,kilotonnes,1277.5917,Fc,Calculated data
EM,Emissions shares,11,Austria,7273,Emissions (CO2),6506,Food Packaging,2016,2016,kilotonnes,555.8078,Fc,Calculated data
EM,Emissions shares,255,Belgium,7273,Emissions (CO2),6996,Farm-gate emissions,2016,2016,kilotonnes,1815.5447,Fc,Calculated data
EM,Emissions shares,255,Belgium,7273,Emissions (CO2),6516,Land Use change,2016,2016,kilotonnes,0,Fc,Calculated data
EM,Emissions shares,255,Belgium,7273,Emissions (CO2),6510,On-farm electricity use,2016,2016,kilotonnes,403.3902,Fc,Calculated data
EM,Emissions shares,255,Belgium,7273,Emissions (CO2),6507,Food Processing,2016,2016,kilotonnes,3845.3373,Fc,Calculated data
EM,Emissions shares,255,Belgium,7273,Emissions (CO2),6815,Food Transport,2016,2016,kilotonnes,1981.8627,Fc,Calculated data
EM,Emissions shares,255,Belgium,7273,Emissions (CO2),6508,Food Retail,2016,2016,kilotonnes,1397.2003,Fc,Calculated data
EM,Emissions shares,255,Belgium,7273,Emissions (CO2),6515,Food Waste Disposal,2016,2016,kilotonnes,115.8268,Fc,Calculated data
EM,Emissions shares,255,Belgium,7273,Emissions (CO2),6505,Food Household Consumption,2016,2016,kilotonnes,2643.6901,Fc,Calculated data
EM,Emissions shares,255,Belgium,7273,Emissions (CO2),6506,Food Packaging,2016,2016,kilotonnes,1283.3088,Fc,Calculated data
EM,Emissions shares,27,Bulgaria,7273,Emissions (CO2),6996,Farm-gate emissions,2016,2016,kilotonnes,1702.8497,Fc,Calculated data
EM,Emissions shares,27,Bulgaria,7273,Emissions (CO2),6516,Land Use change,2016,2016,kilotonnes,3247.794,Fc,Calculated data
EM,Emissions shares,27,Bulgaria,7273,Emissions (CO2),6510,On-farm electricity use,2016,2016,kilotonnes,120.855,Fc,Calculated data
EM,Emissions shares,27,Bulgaria,7273,Emissions (CO2),6507,Food Processing,2016,2016,kilotonnes,958.9739,Fc,Calculated data
EM,Emissions shares,27,Bulgaria,7273,Emissions (CO2),6815,Food Transport,2016,2016,kilotonnes,672.7125,Fc,Calculated data
EM,Emissions shares,27,Bulgaria,7273,Emissions (CO2),6508,Food Retail,2016,2016,kilotonnes,604.0712,Fc,Calculated data
EM,Emissions shares,27,Bulgaria,7273,Emissions (CO2),6515,Food Waste Disposal,2016,2016,kilotonnes,6.8999,Fc,Calculated data
EM,Emissions shares,27,Bulgaria,7273,Emissions (CO2),6505,Food Household Consumption,2016,2016,kilotonnes,887.7023,Fc,Calculated data
EM,Emissions shares,27,Bulgaria,7273,Emissions (CO2),6506,Food Packaging,2016,2016,kilotonnes,443.5758,Fc,Calculated data
EM,Emissions shares,98,Croatia,7273,Emissions (CO2),6996,Farm-gate emissions,2016,2016,kilotonnes,690.1817,Fc,Calculated data
EM,Emissions shares,98,Croatia,7273,Emissions (CO2),6516,Land Use change,2016,2016,kilotonnes,453.6125,Fc,Calculated data
EM,Emissions shares,98,Croatia,7273,Emissions (CO2),6510,On-farm electricity use,2016,2016,kilotonnes,20.7913,Fc,Calculated data
EM,Emissions shares,98,Croatia,7273,Emissions (CO2),6507,Food Processing,2016,2016,kilotonnes,673.9995,Fc,Calculated data
EM,Emissions shares,98,Croatia,7273,Emissions (CO2),6815,Food Transport,2016,2016,kilotonnes,468.7175,Fc,Calculated data
EM,Emissions shares,98,Croatia,7273,Emissions (CO2),6508,Food Retail,2016,2016,kilotonnes,281.1872,Fc,Calculated data
EM,Emissions shares,98,Croatia,7273,Emissions (CO2),6515,Food Waste Disposal,2016,2016,kilotonnes,65.2838,Fc,Calculated data
EM,Emissions shares,98,Croatia,7273,Emissions (CO2),6505,Food Household Consumption,2016,2016,kilotonnes,512.7179,Fc,Calculated data
EM,Emissions shares,98,Croatia,7273,Emissions (CO2),6506,Food Packaging,2016,2016,kilotonnes,133.6286,Fc,Calculated data
EM,Emissions shares,50,Cyprus,7273,Emissions (CO2),6996,Farm-gate emissions,2016,2016,kilotonnes,98.4062,Fc,Calculated data
EM,Emissions shares,50,Cyprus,7273,Emissions (CO2),6516,Land Use change,2016,2016,kilotonnes,30.3359,Fc,Calculated data
EM,Emissions shares,50,Cyprus,7273,Emissions (CO2),6510,On-farm electricity use,2016,2016,kilotonnes,130.3874,Fc,Calculated data
EM,Emissions shares,50,Cyprus,7273,Emissions (CO2),6507,Food Processing,2016,2016,kilotonnes,178.5114,Fc,Calculated data
EM,Emissions shares,50,Cyprus,7273,Emissions (CO2),6815,Food Transport,2016,2016,kilotonnes,147.07,Fc,Calculated data
EM,Emissions shares,50,Cyprus,7273,Emissions (CO2),6508,Food Retail,2016,2016,kilotonnes,182.4395,Fc,Calculated data
EM,Emissions shares,50,Cyprus,7273,Emissions (CO2),6515,Food Waste Disposal,2016,2016,kilotonnes,3.6993,Fc,Calculated data
EM,Emissions shares,50,Cyprus,7273,Emissions (CO2),6505,Food Household Consumption,2016,2016,kilotonnes,186.0019,Fc,Calculated data
EM,Emissions shares,50,Cyprus,7273,Emissions (CO2),6506,Food Packaging,2016,2016,kilotonnes,5.8876,Fc,Calculated data
EM,Emissions shares,167,Czechia,7273,Emissions (CO2),6996,Farm-gate emissions,2016,2016,kilotonnes,1490.5956,Fc,Calculated data
EM,Emissions shares,167,Czechia,7273,Emissions (CO2),6516,Land Use change,2016,2016,kilotonnes,958.8724,Fc,Calculated data
EM,Emissions shares,167,Czechia,7273,Emissions (CO2),6510,On-farm electricity use,2016,2016,kilotonnes,571.6641,Fc,Calculated data
EM,Emissions shares,167,Czechia,7273,Emissions (CO2),6507,Food Processing,2016,2016,kilotonnes,2416.0518,Fc,Calculated data
EM,Emissions shares,167,Czechia,7273,Emissions (CO2),6815,Food Transport,2016,2016,kilotonnes,1394.997,Fc,Calculated data
EM,Emissions shares,167,Czechia,7273,Emissions (CO2),6508,Food Retail,2016,2016,kilotonnes,1606.6616,Fc,Calculated data
EM,Emissions shares,167,Czechia,7273,Emissions (CO2),6515,Food Waste Disposal,2016,2016,kilotonnes,28.2749,Fc,Calculated data
EM,Emissions shares,167,Czechia,7273,Emissions (CO2),6505,Food Household Consumption,2016,2016,kilotonnes,2333.155,Fc,Calculated data
EM,Emissions shares,167,Czechia,7273,Emissions (CO2),6506,Food Packaging,2016,2016,kilotonnes,834.6431,Fc,Calculated data
EM,Emissions shares,54,Denmark,7273,Emissions (CO2),6996,Farm-gate emissions,2016,2016,kilotonnes,2786.9014,Fc,Calculated data
EM,Emissions shares,54,Denmark,7273,Emissions (CO2),6516,Land Use change,2016,2016,kilotonnes,2260.8729,Fc,Calculated data
EM,Emissions shares,54,Denmark,7273,Emissions (CO2),6510,On-farm electricity use,2016,2016,kilotonnes,673.07,Fc,Calculated data
EM,Emissions shares,54,Denmark,7273,Emissions (CO2),6507,Food Processing,2016,2016,kilotonnes,2077.9922,Fc,Calculated data
EM,Emissions shares,54,Denmark,7273,Emissions (CO2),6815,Food Transport,2016,2016,kilotonnes,912.0935,Fc,Calculated data
EM,Emissions shares,54,Denmark,7273,Emissions (CO2),6508,Food Retail,2016,2016,kilotonnes,715.3323,Fc,Calculated data
EM,Emissions shares,54,Denmark,7273,Emissions (CO2),6515,Food Waste Disposal,2016,2016,kilotonnes,13.3461,Fc,Calculated data
EM,Emissions shares,54,Denmark,7273,Emissions (CO2),6505,Food Household Consumption,2016,2016,kilotonnes,678.2199,Fc,Calculated data
EM,Emissions shares,54,Denmark,7273,Emissions (CO2),6506,Food Packaging,2016,2016,kilotonnes,184.2172,Fc,Calculated data
EM,Emissions shares,63,Estonia,7273,Emissions (CO2),6996,Farm-gate emissions,2016,2016,kilotonnes,2846.2313,Fc,Calculated data
EM,Emissions shares,63,Estonia,7273,Emissions (CO2),6516,Land Use change,2016,2016,kilotonnes,0,Fc,Calculated data
EM,Emissions shares,63,Estonia,7273,Emissions (CO2),6510,On-farm electricity use,2016,2016,kilotonnes,218.0808,Fc,Calculated data
EM,Emissions shares,63,Estonia,7273,Emissions (CO2),6507,Food Processing,2016,2016,kilotonnes,466.7401,Fc,Calculated data
EM,Emissions shares,63,Estonia,7273,Emissions (CO2),6815,Food Transport,2016,2016,kilotonnes,184.0143,Fc,Calculated data
EM,Emissions shares,63,Estonia,7273,Emissions (CO2),6508,Food Retail,2016,2016,kilotonnes,445.0841,Fc,Calculated data
EM,Emissions shares,63,Estonia,7273,Emissions (CO2),6515,Food Waste Disposal,2016,2016,kilotonnes,47.0771,Fc,Calculated data
EM,Emissions shares,63,Estonia,7273,Emissions (CO2),6505,Food Household Consumption,2016,2016,kilotonnes,224.5108,Fc,Calculated data
EM,Emissions shares,63,Estonia,7273,Emissions (CO2),6506,Food Packaging,2016,2016,kilotonnes,68.9076,Fc,Calculated data
EM,Emissions shares,67,Finland,7273,Emissions (CO2),6996,Farm-gate emissions,2016,2016,kilotonnes,7856.1188,Fc,Calculated data
EM,Emissions shares,67,Finland,7273,Emissions (CO2),6516,Land Use change,2016,2016,kilotonnes,0,Fc,Calculated data
EM,Emissions shares,67,Finland,7273,Emissions (CO2),6510,On-farm electricity use,2016,2016,kilotonnes,339.3777,Fc,Calculated data
EM,Emissions shares,67,Finland,7273,Emissions (CO2),6507,Food Processing,2016,2016,kilotonnes,922.0157,Fc,Calculated data
EM,Emissions shares,67,Finland,7273,Emissions (CO2),6815,Food Transport,2016,2016,kilotonnes,906.8405,Fc,Calculated data
EM,Emissions shares,67,Finland,7273,Emissions (CO2),6508,Food Retail,2016,2016,kilotonnes,659.7285,Fc,Calculated data
EM,Emissions shares,67,Finland,7273,Emissions (CO2),6515,Food Waste Disposal,2016,2016,kilotonnes,22.269,Fc,Calculated data
EM,Emissions shares,67,Finland,7273,Emissions (CO2),6505,Food Household Consumption,2016,2016,kilotonnes,639.6905,Fc,Calculated data
EM,Emissions shares,67,Finland,7273,Emissions (CO2),6506,Food Packaging,2016,2016,kilotonnes,1563.7572,Fc,Calculated data
EM,Emissions shares,68,France,7273,Emissions (CO2),6996,Farm-gate emissions,2016,2016,kilotonnes,15941.1023,Fc,Calculated data
EM,Emissions shares,68,France,7273,Emissions (CO2),6516,Land Use change,2016,2016,kilotonnes,0,Fc,Calculated data
EM,Emissions shares,68,France,7273,Emissions (CO2),6510,On-farm electricity use,2016,2016,kilotonnes,624.9726,Fc,Calculated data
EM,Emissions shares,68,France,7273,Emissions (CO2),6507,Food Processing,2016,2016,kilotonnes,10552.9691,Fc,Calculated data
EM,Emissions shares,68,France,7273,Emissions (CO2),6815,Food Transport,2016,2016,kilotonnes,18989.14,Fc,Calculated data
EM,Emissions shares,68,France,7273,Emissions (CO2),6508,Food Retail,2016,2016,kilotonnes,8519.4332,Fc,Calculated data
EM,Emissions shares,68,France,7273,Emissions (CO2),6515,Food Waste Disposal,2016,2016,kilotonnes,979.1096,Fc,Calculated data
EM,Emissions shares,68,France,7273,Emissions (CO2),6505,Food Household Consumption,2016,2016,kilotonnes,7035.8534,Fc,Calculated data
EM,Emissions shares,68,France,7273,Emissions (CO2),6506,Food Packaging,2016,2016,kilotonnes,4566.4053,Fc,Calculated data
EM,Emissions shares,79,Germany,7273,Emissions (CO2),6996,Farm-gate emissions,2016,2016,kilotonnes,17884.8819,Fc,Calculated data
EM,Emissions shares,79,Germany,7273,Emissions (CO2),6516,Land Use change,2016,2016,kilotonnes,0,Fc,Calculated data
EM,Emissions shares,79,Germany,7273,Emissions (CO2),6510,On-farm electricity use,2016,2016,kilotonnes,3313.988,Fc,Calculated data
EM,Emissions shares,79,Germany,7273,Emissions (CO2),6507,Food Processing,2016,2016,kilotonnes,21264.3788,Fc,Calculated data
EM,Emissions shares,79,Germany,7273,Emissions (CO2),6815,Food Transport,2016,2016,kilotonnes,12239.48,Fc,Calculated data
EM,Emissions shares,79,Germany,7273,Emissions (CO2),6508,Food Retail,2016,2016,kilotonnes,15113.391,Fc,Calculated data
EM,Emissions shares,79,Germany,7273,Emissions (CO2),6515,Food Waste Disposal,2016,2016,kilotonnes,1816.189,Fc,Calculated data
EM,Emissions shares,79,Germany,7273,Emissions (CO2),6505,Food Household Consumption,2016,2016,kilotonnes,20516.3373,Fc,Calculated data
EM,Emissions shares,79,Germany,7273,Emissions (CO2),6506,Food Packaging,2016,2016,kilotonnes,8992.4514,Fc,Calculated data
EM,Emissions shares,84,Greece,7273,Emissions (CO2),6996,Farm-gate emissions,2016,2016,kilotonnes,1599.4381,Fc,Calculated data
EM,Emissions shares,84,Greece,7273,Emissions (CO2),6516,Land Use change,2016,2016,kilotonnes,0.0475,Fc,Calculated data
EM,Emissions shares,84,Greece,7273,Emissions (CO2),6510,On-farm electricity use,2016,2016,kilotonnes,1780.3435,Fc,Calculated data
EM,Emissions shares,84,Greece,7273,Emissions (CO2),6507,Food Processing,2016,2016,kilotonnes,1725.9183,Fc,Calculated data
EM,Emissions shares,84,Greece,7273,Emissions (CO2),6815,Food Transport,2016,2016,kilotonnes,1278.16,Fc,Calculated data
EM,Emissions shares,84,Greece,7273,Emissions (CO2),6508,Food Retail,2016,2016,kilotonnes,1665.9476,Fc,Calculated data
EM,Emissions shares,84,Greece,7273,Emissions (CO2),6515,Food Waste Disposal,2016,2016,kilotonnes,173.5136,Fc,Calculated data
EM,Emissions shares,84,Greece,7273,Emissions (CO2),6505,Food Household Consumption,2016,2016,kilotonnes,3708.0622,Fc,Calculated data
EM,Emissions shares,84,Greece,7273,Emissions (CO2),6506,Food Packaging,2016,2016,kilotonnes,711.963,Fc,Calculated data
EM,Emissions shares,97,Hungary,7273,Emissions (CO2),6996,Farm-gate emissions,2016,2016,kilotonnes,7213.3722,Fc,Calculated data
EM,Emissions shares,97,Hungary,7273,Emissions (CO2),6516,Land Use change,2016,2016,kilotonnes,363.1129,Fc,Calculated data
EM,Emissions shares,97,Hungary,7273,Emissions (CO2),6510,On-farm electricity use,2016,2016,kilotonnes,330.1583,Fc,Calculated data
EM,Emissions shares,97,Hungary,7273,Emissions (CO2),6507,Food Processing,2016,2016,kilotonnes,1729.5252,Fc,Calculated data
EM,Emissions shares,97,Hungary,7273,Emissions (CO2),6815,Food Transport,2016,2016,kilotonnes,944.636,Fc,Calculated data
EM,Emissions shares,97,Hungary,7273,Emissions (CO2),6508,Food Retail,2016,2016,kilotonnes,735.5462,Fc,Calculated data
EM,Emissions shares,97,Hungary,7273,Emissions (CO2),6515,Food Waste Disposal,2016,2016,kilotonnes,44.1597,Fc,Calculated data
EM,Emissions shares,97,Hungary,7273,Emissions (CO2),6505,Food Household Consumption,2016,2016,kilotonnes,1576.8983,Fc,Calculated data
EM,Emissions shares,97,Hungary,7273,Emissions (CO2),6506,Food Packaging,2016,2016,kilotonnes,381.9958,Fc,Calculated data
EM,Emissions shares,104,Ireland,7273,Emissions (CO2),6996,Farm-gate emissions,2016,2016,kilotonnes,1863.1233,Fc,Calculated data
EM,Emissions shares,104,Ireland,7273,Emissions (CO2),6516,Land Use change,2016,2016,kilotonnes,0,Fc,Calculated data
EM,Emissions shares,104,Ireland,7273,Emissions (CO2),6510,On-farm electricity use,2016,2016,kilotonnes,282.339,Fc,Calculated data
EM,Emissions shares,104,Ireland,7273,Emissions (CO2),6507,Food Processing,2016,2016,kilotonnes,1899.2731,Fc,Calculated data
